codice_struttura_erogante,id_comune_struttura_erogante
01002304,1265
01000802,5080
01062100,1194
01061500,1194
01002602,6177
01000403,1059
01066100,1059
01012601,4215
01090502,3068
01002605,6001
01064100,6001
01061600,1125
01002301,1125
01090600,4078
01012402,4066
01003002,1275
01007904,1270
01089100,1248
01061700,1248
01000503,103050
01001901,1086
01002603,6174
01064900,3065
01064400,1237
01002604,6114
01061800,1183
01002302,1098
01065100,1045
01064200,6039
01002601,6039
01062000,1280
01012001,4003
01002303,1066
01002606,6121
01007901,1219
01063900,5005
01065400,5005
01000801,5005
01012401,4130
01012602,4203
01062800,3106
01090501,3106
01092100,3157
01007905,1292
01007903,1013
01002701,4089
01063300,4185
01000502,103072
01000501,103028
01064800,1012
01000602,3008
01063000,3008
01001903,1128
01062200,1128
01064700,4028
01000401,1078
01062300,1189
01064600,1189
01000402,1156
01065700,2079
01002702,4040
01062900,103015
01090702,6003
01064000,6003
01064300,6003
01090701,6003
01090703,6003
01003001,1191
01088200,1051
01061300,1272
01090904,1272
01090901,1272
01089200,1272
01089000,1272
01090104,1272
01090101,1272
01090302,1272
01090201,1272
01090102,1272
01090800,1272
01001200,1272
01090203,1272
01089300,1272
01000300,1272
01089800,1272
01001100,1272
01001300,1272
01061100,1272
01061000,1272
01090907,1272
01000700,1272
01001000,1272
01089700,1272
01090301,1272
01065500,1272
01065300,1272
01061200,1272
01000902,2016
01065600,96004
01008500,96004
01007902,1115
01003003,1198
01063400,4025
01061400,1038
01063200,4029
01063100,4029
01012002,4029
01062600,2158
01000901,2158
01092000,103049
01001700,1082
01000601,3024
01063500,4196
01000404,1164
01090400,1171
01062700,96080
01000600,3024
01090902,1272
01090905,1272
01090903,1272
01090906,1272
01092200,1051
01066500,3103